nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00301,2286,1624,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,2694,2670,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,3730,3283,1,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,2700,2200,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,2230,356,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,1990,3396,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,3890,3495,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,3880,1696,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,3486,1696,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,3350,1696,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,3206,1696,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,2950,1763,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,2686,1763,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,2457,1762,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,2452,1448,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,1918,1448,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,1930,1239,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,1918,1780,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,1530,1780,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,1918,1335,1,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,1900,2196,1,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,1900,2328,1,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,2437,2303,1,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,2309,1888,1,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,2454,1896,1,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,2454,2440,1,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,2200,2562,1,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,2461,2550,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,2500,3179,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
FHALL02301,2790,3200,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,3250,3200,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,3318,3062,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,3539,2990,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,3703,3008,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,3400,3188,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,2190,3188,1,Tower,HALL,75 Lobby,75 Lobby
FHALL03001,1975,3047,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,3554,1928,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,2450,2155,1,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,3714,3123,1,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,2214,3007,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,2818,3023,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,3770,1975,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,3302,1411,1,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,1590,3070,1,Tower,RETL,Au Bon Pain,ABP
FSERV00101,3218,1551,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,1718,2199,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,2230,2747,1,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,2098,1927,1,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,1878,3407,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
FSTAI00101,3650,1483,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,2218,1239,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,3150,3055,1,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,2682,1767,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,2810,3379,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
HBATH00102,1866,2051,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,3706,3391,2,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,2974,1771,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,3290,1727,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00402,2950,2191,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,2766,2239,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,2550,2487,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,2402,2735,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,2422,3059,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,2406,3271,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,3710,3260,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,3086,1435,2,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,1886,2215,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,3006,2519,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,3634,1543,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,2226,2907,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,2866,3051,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,2682,1775,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,2826,3399,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,2418,3447,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,2503,1407,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,2571,2075,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,2327,1727,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,2243,1487,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,771,675,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,429,1991,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,753,1991,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,773,3235,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
HHALL00503,2245,3251,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,2470,1831,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,2470,1631,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,2470,1435,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,2470,1343,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,2665,1335,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,2277,1331,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,1913,1335,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,1913,2191,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,2470,2195,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,2470,1991,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,217,1563,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,2565,1500,3,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,2245,3040,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,2681,1767,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,2793,3355,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
CDEPT002L1,3509,1430,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,2920,1400,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,2440,1770,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,2525,3288,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,4120,3270,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,4120,2290,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,2912,1760,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
