nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00101,430,330,1,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,345,580,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,540,400,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,670,650,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,900,790,1,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,660,525,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,610,50,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,580,850,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,900,770,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,950,410,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,856,410,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,847,410,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,803,410,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,780,410,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,699,426,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,588,426,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,588,346,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,457,346,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,457,298,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,457,426,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,378,426,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,457,321,1,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,457,525,1,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,457,556,1,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,588,556,1,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,551,452,1,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,588,452,1,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,588,616,1,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,530,616,1,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,599,642,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,599,776,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
